y_true,y_pred,neutral,positive,negative
2,0.0,0.99195,0.00108,0.00697
2,0.0,0.98497,0.00123,0.01381
2,0.0,0.99061,0.00121,0.00818
2,0.0,0.99008,0.00226,0.00766
2,0.0,0.98691,0.00118,0.01191
2,0.0,0.9943,0.00124,0.00447
2,0.0,0.99292,0.00128,0.0058
2,0.0,0.99638,0.00128,0.00234
2,0.0,0.98842,0.00102,0.01057
2,0.0,0.98024,0.00244,0.01731
2,0.0,0.9889,0.00223,0.00887
2,0.0,0.98331,0.00243,0.01426
2,0.0,0.99636,0.00177,0.00187
2,0.0,0.92817,0.00288,0.06895
2,0.0,0.97676,0.00282,0.02042
1,0.0,0.95756,0.03936,0.00308
2,0.0,0.86849,0.12511,0.00641
1,0.0,0.99635,0.00191,0.00174
1,0.0,0.99379,0.00453,0.00168
1,0.0,0.9962,0.00237,0.00143
1,0.0,0.99619,0.00112,0.00269
2,0.0,0.98364,0.00132,0.01505
2,0.0,0.99128,0.00102,0.0077
1,0.0,0.94051,0.0577,0.00179
1,0.0,0.99493,0.00359,0.00148
2,0.0,0.95892,0.00388,0.0372
2,0.0,0.99626,0.0013,0.00244
1,0.0,0.99482,0.0039,0.00128
1,0.0,0.99441,0.00199,0.0036
1,0.0,0.99517,0.00333,0.0015
1,0.0,0.99262,0.00217,0.00521
1,0.0,0.92211,0.07419,0.0037
1,0.0,0.9963,0.0025,0.0012
2,0.0,0.98054,0.00073,0.01873
0,0.0,0.99253,0.00273,0.00474
0,0.0,0.99645,0.00141,0.00214
0,0.0,0.99466,0.00189,0.00345
1,0.0,0.99614,0.00135,0.00251
2,0.0,0.99471,0.00121,0.00408
0,0.0,0.99455,0.00163,0.00383
0,0.0,0.99631,0.00146,0.00223
0,0.0,0.99197,0.00115,0.00688
0,0.0,0.9965,0.00187,0.00163
0,0.0,0.99122,0.0017,0.00708
1,0.0,0.99304,0.00128,0.00568
0,0.0,0.98407,0.00338,0.01255
2,0.0,0.9351,0.00097,0.06393
1,0.0,0.99633,0.0015,0.00217
2,2.0,0.3271,0.00221,0.67069
