y_true,y_pred,neutral,positive,negative
2,2.0,0.02985,0.00131,0.96884
2,2.0,0.01654,0.00154,0.98193
0,0.0,0.9962,0.00103,0.00277
1,1.0,0.00258,0.9959,0.00153
0,0.0,0.95807,0.0407,0.00122
1,1.0,0.00602,0.99321,0.00077
1,1.0,0.05476,0.94225,0.00299
2,2.0,0.33707,0.00238,0.66055
0,0.0,0.98278,0.01579,0.00142
2,2.0,0.04863,0.0012,0.95017
1,1.0,0.00157,0.99636,0.00207
1,1.0,0.00392,0.99488,0.0012
0,0.0,0.98784,0.01119,0.00096
1,0.0,0.98609,0.00254,0.01137
0,0.0,0.97035,0.01575,0.0139
1,0.0,0.75458,0.24147,0.00395
0,0.0,0.99226,0.00248,0.00526
1,1.0,0.01205,0.98707,0.00088
1,1.0,0.00545,0.9936,0.00095
2,0.0,0.99591,0.00124,0.00285
0,0.0,0.99562,0.00334,0.00104
1,1.0,0.00213,0.99628,0.00159
0,0.0,0.99182,0.00161,0.00657
0,0.0,0.99644,0.002,0.00156
0,0.0,0.99555,0.00288,0.00157
2,2.0,0.0183,0.00135,0.98034
0,0.0,0.97903,0.01926,0.00171
0,0.0,0.93745,0.06105,0.0015
0,0.0,0.95951,0.03307,0.00743
2,1.0,0.00457,0.71493,0.2805
0,1.0,0.25623,0.74032,0.00345
1,1.0,0.00277,0.99617,0.00106
0,0.0,0.99239,0.00601,0.0016
2,0.0,0.89239,0.00201,0.10559
1,1.0,0.0729,0.92324,0.00385
1,1.0,0.00269,0.99558,0.00174
0,0.0,0.99557,0.00244,0.00199
0,0.0,0.91574,0.08281,0.00145
2,2.0,0.05619,0.00133,0.94248
1,1.0,0.02193,0.97564,0.00244
0,0.0,0.9791,0.01993,0.00096
1,1.0,0.00296,0.99591,0.00113
0,0.0,0.99357,0.00481,0.00162
0,0.0,0.91207,0.08544,0.00249
0,0.0,0.99633,0.00166,0.00201
2,2.0,0.02939,0.00136,0.96925
2,2.0,0.48243,0.00499,0.51258
1,1.0,0.00286,0.99604,0.0011
0,0.0,0.94439,0.05402,0.00159
0,0.0,0.99025,0.00099,0.00875
2,2.0,0.03221,0.00583,0.96195
1,1.0,0.11495,0.88286,0.00219
2,2.0,0.03334,0.00161,0.96504
1,1.0,0.00361,0.99549,0.0009
0,1.0,0.14018,0.85701,0.00281
0,0.0,0.99625,0.00234,0.00141
1,1.0,0.03403,0.96472,0.00126
0,0.0,0.81639,0.18115,0.00247
2,2.0,0.03534,0.00187,0.96279
1,1.0,0.07858,0.91693,0.00449
0,0.0,0.93301,0.06546,0.00153
2,2.0,0.01706,0.00404,0.9789
1,1.0,0.05488,0.9439,0.00123
1,1.0,0.0653,0.9323,0.00239
1,1.0,0.00237,0.99581,0.00182
1,1.0,0.00276,0.99534,0.00189
2,2.0,0.03324,0.00139,0.96537
1,1.0,0.02868,0.97007,0.00125
0,0.0,0.98752,0.00485,0.00763
0,0.0,0.99329,0.00277,0.00394
0,0.0,0.87794,0.12032,0.00173
1,0.0,0.60263,0.39544,0.00193
0,0.0,0.99634,0.00204,0.00162
1,0.0,0.51117,0.48633,0.0025
0,0.0,0.98475,0.0138,0.00144
1,0.0,0.8513,0.14572,0.00298
1,1.0,0.01825,0.98056,0.00119
1,1.0,0.00125,0.99581,0.00294
2,2.0,0.05469,0.00209,0.94323
2,2.0,0.00591,0.01264,0.98145
1,1.0,0.00391,0.99507,0.00102
2,2.0,0.12393,0.00154,0.87453
2,2.0,0.00885,0.00267,0.98848
2,2.0,0.01645,0.05598,0.92758
0,0.0,0.99645,0.00228,0.00127
0,0.0,0.99384,0.00111,0.00505
0,0.0,0.99388,0.005,0.00112
0,0.0,0.99366,0.00265,0.00369
2,1.0,0.00105,0.99047,0.00848
1,1.0,0.00304,0.99604,0.00092
0,1.0,0.26542,0.72728,0.0073
2,2.0,0.34855,0.00349,0.64796
1,1.0,0.0296,0.96646,0.00394
1,1.0,0.12824,0.87016,0.00161
0,0.0,0.9947,0.00413,0.00117
2,0.0,0.99602,0.00093,0.00305
1,1.0,0.00337,0.99558,0.00104
0,2.0,0.09768,0.00167,0.90065
1,1.0,0.00138,0.99608,0.00254
1,1.0,0.00208,0.99676,0.00116
1,1.0,0.00475,0.99433,0.00091
1,1.0,0.00153,0.99669,0.00178
0,0.0,0.99678,0.00147,0.00176
0,0.0,0.95058,0.0043,0.04512
1,1.0,0.00198,0.99555,0.00247
0,0.0,0.84837,0.04976,0.10187
0,0.0,0.9961,0.00255,0.00136
1,1.0,0.00423,0.99485,0.00092
2,2.0,0.04264,0.0011,0.95626
1,1.0,0.0016,0.99657,0.00183
1,1.0,0.00321,0.99565,0.00115
1,1.0,0.01137,0.98434,0.00429
0,0.0,0.99235,0.00656,0.00109
0,0.0,0.99203,0.00626,0.00171
0,0.0,0.99599,0.00241,0.00159
2,2.0,0.034,0.00128,0.96473
2,2.0,0.12566,0.00248,0.87186
2,2.0,0.02475,0.00154,0.97371
1,1.0,0.00363,0.99528,0.00109
2,2.0,0.0527,0.00688,0.94043
1,1.0,0.16508,0.83316,0.00176
2,2.0,0.04713,0.00118,0.95169
0,0.0,0.99441,0.0046,0.00099
2,2.0,0.03075,0.00601,0.96324
2,1.0,0.00336,0.99543,0.00122
1,1.0,0.08417,0.91081,0.00502
0,0.0,0.99165,0.00712,0.00123
2,2.0,0.01181,0.00222,0.98597
1,1.0,0.00464,0.99416,0.0012
0,0.0,0.99367,0.0028,0.00354
1,1.0,0.00281,0.99597,0.00122
0,0.0,0.99382,0.00474,0.00144
0,0.0,0.97535,0.02355,0.0011
0,0.0,0.9638,0.01522,0.02098
1,0.0,0.9104,0.06728,0.02231
0,0.0,0.77509,0.00891,0.216
1,1.0,0.06128,0.93664,0.00207
0,0.0,0.94064,0.05478,0.00457
0,0.0,0.99224,0.00594,0.00181
0,0.0,0.97184,0.02259,0.00557
2,0.0,0.92337,0.00099,0.07564
2,2.0,0.07857,0.0021,0.91933
0,0.0,0.99673,0.0021,0.00117
1,1.0,0.00182,0.98043,0.01776
0,0.0,0.99564,0.00218,0.00217
2,2.0,0.03154,0.00146,0.967
1,1.0,0.00348,0.99523,0.00129
1,1.0,0.2844,0.52857,0.18703
0,0.0,0.98421,0.00941,0.00638
0,0.0,0.99567,0.00324,0.00108
0,0.0,0.9524,0.038,0.0096
0,0.0,0.9959,0.00215,0.00195
0,0.0,0.99568,0.00262,0.0017
1,1.0,0.00898,0.98908,0.00194
0,0.0,0.9757,0.02279,0.00152
0,0.0,0.99497,0.00205,0.00298
2,0.0,0.71902,0.00357,0.27742
1,1.0,0.00544,0.99239,0.00216
2,2.0,0.01693,0.00137,0.9817
1,1.0,0.08945,0.65081,0.25974
0,0.0,0.91914,0.07896,0.0019
0,0.0,0.99416,0.00458,0.00126
2,2.0,0.0994,0.00122,0.89938
1,1.0,0.00272,0.9958,0.00148
0,0.0,0.97796,0.0206,0.00144
2,2.0,0.01032,0.00183,0.98785
0,0.0,0.99583,0.00299,0.00118
0,0.0,0.99313,0.00554,0.00134
0,0.0,0.99601,0.00145,0.00254
2,2.0,0.00628,0.01083,0.98289
0,0.0,0.99666,0.0019,0.00143
0,0.0,0.9886,0.00908,0.00232
2,2.0,0.02068,0.00157,0.97775
2,2.0,0.01154,0.00178,0.98668
2,2.0,0.15352,0.00242,0.84406
0,0.0,0.99509,0.0024,0.0025
1,1.0,0.00271,0.99589,0.0014
1,1.0,0.0021,0.99638,0.00152
0,0.0,0.96261,0.00721,0.03018
