y_true,y_pred,NEUTRAL,POSITIVE,NEGATIVE
2,2.0,0.18069,0.06786,0.75145
2,2.0,0.1807,0.06786,0.75145
2,2.0,0.18072,0.06786,0.75143
2,2.0,0.1807,0.06786,0.75144
2,2.0,0.1807,0.06786,0.75144
2,2.0,0.1807,0.06786,0.75144
2,2.0,0.1807,0.06785,0.75145
2,0.0,0.82367,0.14067,0.03566
2,2.0,0.1807,0.06786,0.75145
2,2.0,0.1807,0.06786,0.75144
2,2.0,0.18076,0.06787,0.75137
2,2.0,0.18069,0.06785,0.75146
2,2.0,0.16717,0.03958,0.79325
2,2.0,0.1807,0.06786,0.75145
2,1.0,0.04138,0.94772,0.0109
1,2.0,0.18068,0.06785,0.75146
2,1.0,0.01512,0.98127,0.00361
1,2.0,0.18069,0.06786,0.75145
1,0.0,0.80464,0.16159,0.03377
1,0.0,0.7006,0.20062,0.09878
1,2.0,0.18069,0.06786,0.75146
2,2.0,0.1807,0.06786,0.75144
2,2.0,0.18068,0.06785,0.75146
1,2.0,0.18071,0.06788,0.75141
1,2.0,0.18071,0.06786,0.75143
2,0.0,0.82018,0.14709,0.03273
2,0.0,0.82439,0.14245,0.03316
1,0.0,0.80792,0.15636,0.03573
1,0.0,0.73816,0.21946,0.04238
1,0.0,0.82445,0.14324,0.03231
1,2.0,0.18067,0.06785,0.75148
1,1.0,0.03631,0.95394,0.00974
1,0.0,0.82106,0.14759,0.03135
2,2.0,0.18066,0.06784,0.75151
0,0.0,0.81485,0.15101,0.03415
0,0.0,0.81428,0.15079,0.03494
0,0.0,0.81371,0.1521,0.03419
1,0.0,0.80872,0.15714,0.03414
2,1.0,0.04087,0.94835,0.01078
0,0.0,0.80417,0.16082,0.03501
0,0.0,0.81601,0.15207,0.03191
0,2.0,0.18066,0.06783,0.75151
0,2.0,0.18068,0.06785,0.75148
0,2.0,0.18069,0.06786,0.75145
1,2.0,0.18069,0.06785,0.75146
0,2.0,0.18069,0.06785,0.75146
2,2.0,0.18068,0.06783,0.75149
1,0.0,0.81403,0.15141,0.03456
2,2.0,0.1807,0.06786,0.75144
0,0.0,0.78371,0.17366,0.04262
0,2.0,0.18068,0.06785,0.75146
0,2.0,0.1807,0.06786,0.75144
1,0.0,0.81193,0.15381,0.03427
1,2.0,0.18071,0.06785,0.75144
0,2.0,0.1807,0.06786,0.75144
1,2.0,0.18071,0.06786,0.75142
0,2.0,0.18073,0.06785,0.75141
0,2.0,0.18069,0.06786,0.75145
0,1.0,0.0151,0.9813,0.0036
2,2.0,0.18069,0.06786,0.75146
0,2.0,0.18087,0.06791,0.75121
0,0.0,0.58242,0.33781,0.07977
0,2.0,0.18069,0.06785,0.75146
0,2.0,0.1807,0.06786,0.75145
0,2.0,0.18069,0.06786,0.75145
2,2.0,0.1807,0.06786,0.75144
0,1.0,0.02027,0.97465,0.00507
2,2.0,0.1807,0.06786,0.75145
0,2.0,0.18074,0.06784,0.75142
0,2.0,0.18069,0.06786,0.75146
1,0.0,0.81993,0.14695,0.03312
0,0.0,0.80136,0.16394,0.0347
1,0.0,0.79899,0.16718,0.03383
1,2.0,0.18077,0.06787,0.75136
0,2.0,0.18067,0.06785,0.75148
0,2.0,0.18107,0.06797,0.75096
1,1.0,0.42237,0.49639,0.08124
0,0.0,0.81737,0.14904,0.03359
0,2.0,0.18072,0.06786,0.75142
0,2.0,0.18068,0.06785,0.75148
0,2.0,0.1807,0.06786,0.75144
0,2.0,0.18084,0.06791,0.75125
0,0.0,0.6638,0.28484,0.05136
1,0.0,0.7696,0.19312,0.03728
1,0.0,0.82364,0.14372,0.03264
0,2.0,0.18066,0.06785,0.75149
1,0.0,0.818,0.14993,0.03208
1,2.0,0.18069,0.06786,0.75145
0,2.0,0.18068,0.06785,0.75147
0,2.0,0.1807,0.06786,0.75144
2,2.0,0.1807,0.06786,0.75144
2,0.0,0.8026,0.16404,0.03336
0,2.0,0.18068,0.06785,0.75147
2,2.0,0.18068,0.06785,0.75146
0,2.0,0.1806,0.06786,0.75154
2,2.0,0.18069,0.06786,0.75146
0,0.0,0.819,0.14756,0.03343
1,1.0,0.03533,0.95522,0.00946
1,0.0,0.81732,0.15088,0.0318
1,2.0,0.18068,0.06785,0.75146
1,0.0,0.82094,0.14719,0.03187
