y_true,y_pred,NEUTRAL,POSITIVE,NEGATIVE
2,2.0,0.18071,0.06787,0.75143
2,2.0,0.00259,0.0025,0.99491
0,0.0,0.82082,0.14799,0.03119
1,1.0,0.01599,0.98017,0.00383
0,0.0,0.82703,0.1142,0.05877
1,1.0,0.01548,0.98081,0.0037
1,1.0,0.02138,0.97334,0.00528
2,2.0,0.18063,0.06781,0.75156
0,0.0,0.8279,0.11408,0.05802
2,2.0,0.18069,0.06784,0.75146
1,2.0,0.1807,0.06786,0.75144
1,0.0,0.67325,0.25759,0.06917
0,1.0,0.00596,0.99069,0.00335
1,0.0,0.82053,0.14754,0.03193
0,0.0,0.81155,0.1566,0.03185
1,2.0,0.18063,0.06775,0.75162
0,2.0,0.1807,0.06772,0.75158
1,1.0,0.00597,0.99068,0.00335
1,1.0,0.01553,0.98076,0.00371
2,2.0,0.18068,0.06785,0.75147
0,0.0,0.8291,0.11307,0.05783
1,1.0,0.0527,0.9342,0.0131
0,0.0,0.82965,0.11281,0.05754
0,0.0,0.82763,0.1135,0.05888
0,0.0,0.8297,0.11276,0.05754
2,0.0,0.81455,0.15348,0.03197
0,1.0,0.01524,0.98112,0.00364
0,0.0,0.78149,0.1503,0.06821
0,0.0,0.82752,0.11461,0.05788
2,0.0,0.81128,0.12444,0.06428
0,0.0,0.82672,0.11406,0.05922
1,1.0,0.03688,0.95333,0.00979
0,0.0,0.82,0.14729,0.03271
2,2.0,0.18062,0.0678,0.75159
1,0.0,0.58242,0.28125,0.13633
1,1.0,0.02518,0.96844,0.00638
0,0.0,0.82641,0.14213,0.03147
0,0.0,0.80202,0.16347,0.03451
2,0.0,0.82311,0.11521,0.06168
1,1.0,0.02173,0.97287,0.0054
0,0.0,0.82533,0.11543,0.05924
1,1.0,0.00596,0.99069,0.00335
0,0.0,0.82989,0.11268,0.05743
0,1.0,0.31461,0.63113,0.05425
0,0.0,0.82967,0.11258,0.05775
2,2.0,0.18069,0.06785,0.75145
2,2.0,0.18067,0.06784,0.75149
1,1.0,0.30855,0.63659,0.05486
0,0.0,0.82989,0.11282,0.05729
0,0.0,0.82966,0.11254,0.05781
2,2.0,0.18069,0.06785,0.75145
1,0.0,0.82809,0.1135,0.05841
2,2.0,0.1807,0.06786,0.75145
1,0.0,0.78151,0.1462,0.0723
0,0.0,0.82023,0.11867,0.06109
0,0.0,0.82841,0.11369,0.0579
1,1.0,0.00596,0.99069,0.00335
0,0.0,0.81401,0.15386,0.03213
2,2.0,0.18068,0.06784,0.75148
1,1.0,0.10741,0.86425,0.02834
0,0.0,0.82746,0.11388,0.05865
2,2.0,0.18068,0.06785,0.75147
1,1.0,0.03367,0.95736,0.00897
1,0.0,0.57211,0.34334,0.08455
1,2.0,0.18057,0.06779,0.75164
1,1.0,0.00596,0.99069,0.00335
2,2.0,0.18066,0.06783,0.75152
1,1.0,0.00597,0.99068,0.00335
0,0.0,0.82657,0.11468,0.05876
0,0.0,0.79169,0.17341,0.0349
0,0.0,0.82833,0.11372,0.05796
1,1.0,0.01769,0.97804,0.00428
0,0.0,0.82978,0.11285,0.05738
1,0.0,0.80185,0.13096,0.06719
0,0.0,0.82248,0.14619,0.03132
1,0.0,0.64462,0.18826,0.16712
1,1.0,0.02651,0.96654,0.00696
1,1.0,0.01499,0.98144,0.00358
2,2.0,0.18084,0.06789,0.75127
2,2.0,0.1807,0.06785,0.75145
1,0.0,0.81271,0.12384,0.06345
2,2.0,0.18064,0.06781,0.75155
2,2.0,0.18066,0.06782,0.75152
2,2.0,0.18065,0.06784,0.75151
0,0.0,0.82909,0.11328,0.05763
0,0.0,0.82909,0.11291,0.058
0,0.0,0.82823,0.11303,0.05875
0,0.0,0.82748,0.11398,0.05855
2,2.0,0.18067,0.06782,0.75151
1,1.0,0.00596,0.99069,0.00335
0,1.0,0.37482,0.56252,0.06266
2,2.0,0.18068,0.06785,0.75147
1,1.0,0.01876,0.97668,0.00456
1,1.0,0.01507,0.98134,0.00359
0,0.0,0.82708,0.11418,0.05874
2,2.0,0.18065,0.06783,0.75151
1,0.0,0.81339,0.12186,0.06475
0,2.0,0.18062,0.0678,0.75158
1,1.0,0.006,0.99066,0.00334
1,1.0,0.01603,0.98013,0.00384
1,1.0,0.01503,0.98139,0.00359
1,1.0,0.01681,0.97914,0.00404
0,2.0,0.18065,0.06783,0.75152
0,0.0,0.82114,0.14765,0.03121
1,2.0,0.18068,0.06783,0.75149
0,0.0,0.82936,0.11306,0.05758
0,0.0,0.82684,0.11486,0.0583
1,1.0,0.00596,0.99069,0.00335
2,2.0,0.0026,0.00249,0.99491
1,1.0,0.14296,0.82916,0.02788
1,1.0,0.09654,0.88344,0.02002
1,1.0,0.03015,0.9619,0.00796
0,0.0,0.82936,0.11296,0.05767
0,0.0,0.82903,0.11312,0.05785
0,0.0,0.82958,0.11277,0.05764
2,2.0,0.18096,0.06789,0.75115
2,0.0,0.78031,0.16974,0.04995
2,2.0,0.00259,0.0025,0.99491
1,1.0,0.01584,0.98037,0.00379
2,2.0,0.18066,0.06784,0.75149
1,1.0,0.01616,0.97996,0.00388
2,2.0,0.18069,0.06785,0.75147
0,0.0,0.81805,0.14948,0.03247
2,0.0,0.79827,0.16794,0.03379
2,2.0,0.18069,0.06777,0.75154
1,1.0,0.03729,0.95282,0.00989
0,0.0,0.82975,0.11279,0.05746
2,2.0,0.18067,0.06783,0.75149
1,1.0,0.00596,0.99069,0.00335
0,0.0,0.82957,0.11295,0.05747
1,1.0,0.01515,0.98123,0.00362
0,0.0,0.82934,0.11284,0.05782
0,0.0,0.80103,0.12367,0.0753
0,0.0,0.82885,0.11357,0.05758
1,1.0,0.01725,0.97859,0.00416
0,0.0,0.76009,0.19636,0.04355
1,0.0,0.71325,0.22004,0.06671
0,0.0,0.71404,0.07448,0.21148
0,0.0,0.76369,0.17264,0.06368
0,0.0,0.78334,0.17826,0.0384
2,2.0,0.18085,0.06789,0.75126
2,2.0,0.18065,0.06783,0.75151
0,0.0,0.82059,0.14826,0.03115
1,1.0,0.00596,0.99069,0.00335
0,0.0,0.67377,0.14122,0.18501
2,2.0,0.18068,0.06783,0.75149
1,1.0,0.01583,0.98037,0.0038
1,1.0,0.00598,0.99069,0.00333
0,0.0,0.82426,0.14468,0.03106
0,0.0,0.82903,0.11319,0.05778
0,2.0,0.1806,0.06777,0.75163
0,0.0,0.82967,0.11285,0.05748
0,0.0,0.82046,0.14813,0.0314
1,1.0,0.01503,0.98138,0.00359
0,0.0,0.81175,0.12289,0.06535
0,0.0,0.82133,0.14735,0.03132
2,0.0,0.79684,0.16619,0.03696
1,1.0,0.12216,0.84117,0.03667
2,0.0,0.82275,0.11487,0.06237
1,1.0,0.00596,0.99068,0.00335
0,0.0,0.7984,0.12896,0.07264
0,0.0,0.82949,0.11262,0.05788
2,2.0,0.18065,0.06781,0.75154
1,2.0,0.18074,0.06783,0.75144
0,0.0,0.76528,0.19563,0.03909
2,2.0,0.18062,0.06781,0.75157
0,0.0,0.81727,0.15117,0.03156
0,1.0,0.01944,0.97582,0.00474
0,0.0,0.82993,0.11271,0.05736
2,2.0,0.18065,0.06783,0.75152
0,0.0,0.82978,0.11327,0.05696
0,0.0,0.82819,0.11389,0.05792
2,2.0,0.18067,0.06783,0.7515
2,2.0,0.1806,0.06774,0.75166
2,2.0,0.18069,0.06785,0.75146
0,0.0,0.818,0.15027,0.03174
1,1.0,0.01585,0.98035,0.0038
1,1.0,0.05774,0.92833,0.01393
0,0.0,0.81899,0.14953,0.03148
2,0.0,0.46363,0.40639,0.12998
0,1.0,0.12465,0.85034,0.025
2,2.0,0.18066,0.06782,0.75153
1,1.0,0.01747,0.97831,0.00422
2,2.0,0.00259,0.0025,0.99491
0,1.0,0.05246,0.93448,0.01306
2,2.0,0.0026,0.00249,0.99491
2,1.0,0.01507,0.98134,0.0036
0,0.0,0.82701,0.1139,0.05909
0,0.0,0.82039,0.14767,0.03194
1,1.0,0.00596,0.99069,0.00335
2,2.0,0.18058,0.06778,0.75164
0,0.0,0.77196,0.18808,0.03995
0,0.0,0.82984,0.11263,0.05753
1,1.0,0.0173,0.97847,0.00423
1,1.0,0.14723,0.81897,0.0338
1,1.0,0.02352,0.97059,0.00589
2,2.0,0.18067,0.06785,0.75148
2,0.0,0.8046,0.15414,0.04126
0,0.0,0.82854,0.11331,0.05815
1,0.0,0.53659,0.409,0.05441
1,1.0,0.2154,0.74506,0.03954
0,0.0,0.81283,0.15529,0.03188
0,0.0,0.81779,0.15033,0.03188
0,1.0,0.46842,0.47356,0.05802
1,0.0,0.82671,0.11459,0.0587
1,1.0,0.02289,0.9714,0.00571
0,2.0,0.18097,0.06791,0.75112
0,0.0,0.82194,0.14621,0.03185
0,0.0,0.82994,0.1125,0.05756
0,0.0,0.82186,0.14685,0.03129
1,1.0,0.00596,0.99069,0.00335
0,0.0,0.80842,0.15909,0.03248
2,2.0,0.18071,0.06785,0.75144
1,1.0,0.00596,0.99069,0.00335
1,1.0,0.31786,0.62785,0.05428
1,1.0,0.01978,0.97538,0.00484
